Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 17, 2020","2,870.00","Apr 17, 2020","2,863.00","2,885.00","2,821.00","2,870.00",1.92M,2.96%,3.0%,$64.00,2.24%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 16, 2020","2,787.50","Apr 16, 2020","2,767.75","2,831.50","2,746.00","2,787.50",1.75M,0.45%,0.5%,$85.50,3.09%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 15, 2020","2,775.00","Apr 15, 2020","2,843.75","2,845.50","2,751.25","2,775.00",1.83M,-2.39%,2.4%,$94.25,3.31%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 14, 2020","2,843.00","Apr 14, 2020","2,760.00","2,846.00","2,752.50","2,843.00",1.72M,3.04%,3.0%,$93.50,3.39%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 13, 2020","2,759.25","Apr 13, 2020","2,811.00","2,819.50","2,711.00","2,759.25",1.57M,-1.00%,1.0%,$108.50,3.86%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 10, 2020","2,787.25","Apr 10, 2020","2,787.25","2,787.25","2,787.25","2,787.25",-,0.27%,0.3%,$0.00,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 09, 2020","2,779.75","Apr 09, 2020","2,737.75","2,809.50","2,701.00","2,779.75",2.34M,1.64%,1.6%,$108.50,3.96%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 08, 2020","2,735.00","Apr 08, 2020","2,640.50","2,752.50","2,620.75","2,735.00",1.92M,3.52%,3.5%,$131.75,4.99%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 07, 2020","2,642.00","Apr 07, 2020","2,645.50","2,750.00","2,623.50","2,642.00",2.49M,-0.09%,0.1%,$126.50,4.78%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 06, 2020","2,644.50","Apr 06, 2020","2,485.00","2,668.50","2,484.75","2,644.50",2.03M,6.51%,6.5%,$183.75,7.39%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 03, 2020","2,482.75","Apr 03, 2020","2,513.75","2,529.50","2,449.00","2,482.75",1.76M,-1.34%,1.3%,$80.50,3.20%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 02, 2020","2,516.50","Apr 02, 2020","2,459.00","2,525.00","2,424.75","2,516.50",2.15M,2.80%,2.8%,$100.25,4.08%,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 01, 2020","2,448.00","Apr 01, 2020","2,562.00","2,562.25","2,434.25","2,448.00",2.09M,-4.74%,4.7%,$128.00,5.00%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 31, 2020","2,569.75","Mar 31, 2020","2,613.25","2,635.75","2,555.75","2,569.75",2.25M,-1.59%,1.6%,$80.00,3.06%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 30, 2020","2,611.25","Mar 30, 2020","2,459.00","2,621.75","2,445.00","2,611.25",1.84M,3.46%,3.5%,$176.75,7.19%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 27, 2020","2,524.00","Mar 27, 2020","2,627.75","2,634.50","2,505.25","2,524.00",2.32M,-3.22%,3.2%,$129.25,4.92%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 26, 2020","2,608.00","Mar 26, 2020","2,471.00","2,625.75","2,402.25","2,608.00",2.41M,5.72%,5.7%,$223.50,9.04%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 25, 2020","2,467.00","Mar 25, 2020","2,442.75","2,560.75","2,386.00","2,467.00",3.04M,1.19%,1.2%,$174.75,7.15%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 24, 2020","2,438.00","Mar 24, 2020","2,233.25","2,447.75","2,230.50","2,438.00",2.64M,9.80%,9.8%,$217.25,9.73%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 23, 2020","2,220.50","Mar 23, 2020","2,220.25","2,386.00","2,174.00","2,220.50",3.08M,-8.92%,8.9%,$212.00,9.55%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 20, 2020","2,437.98","Mar 20, 2020","2,364.25","2,512.75","2,346.25","2,437.98",71.68K,1.45%,1.5%,$166.50,7.04%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 19, 2020","2,403.25","Mar 19, 2020","2,414.25","2,474.00","2,288.00","2,403.25",631.23K,-0.45%,0.5%,$186.00,7.70%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 18, 2020","2,414.00","Mar 18, 2020","2,478.50","2,498.00","2,274.75","2,414.00",976.54K,-3.27%,3.3%,$223.25,9.01%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 17, 2020","2,495.50","Mar 17, 2020","2,417.25","2,554.50","2,365.00","2,495.50",1.68M,3.28%,3.3%,$189.50,7.84%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 16, 2020","2,416.25","Mar 16, 2020","2,673.75","2,675.00","2,360.25","2,416.25",2.38M,-10.38%,10.4%,$314.75,11.77%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 13, 2020","2,696.00","Mar 13, 2020","2,429.50","2,707.75","2,393.50","2,696.00",3.42M,9.19%,9.2%,$314.25,12.93%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 12, 2020","2,469.00","Mar 12, 2020","2,738.00","2,774.00","2,442.50","2,469.00",4.37M,-9.90%,9.9%,$331.50,12.11%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 11, 2020","2,740.25","Mar 11, 2020","2,859.50","2,869.50","2,702.75","2,740.25",2.99M,-4.38%,4.4%,$166.75,5.83%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 10, 2020","2,865.75","Mar 10, 2020","2,733.00","2,884.75","2,695.25","2,865.75",3.42M,4.29%,4.3%,$189.50,6.93%,,,,,,,,,,,,,,,,,,,,,,,,
